"level1";"level2"
"GSM488979";"Pre-B_cell_CD34-";"Pre-B_cell_CD34-"
"GSM488980";"Pro-B_cell_CD34+";"Pro-B_cell_CD34+"
"GSM488981";"Pro-B_cell_CD34+";"Pro-B_cell_CD34+"
"GSM488982";"Pro-Myelocyte";"Pro-Myelocyte"
"GSM488983";"Pro-Myelocyte";"Pro-Myelocyte"
"GSM492832";"Endothelial_cells";"Endothelial_cells:HUVEC"
"GSM492833";"Endothelial_cells";"Endothelial_cells:HUVEC"
"GSM492834";"Smooth_muscle_cells";"Smooth_muscle_cells:umbilical_vein"
"GSM492835";"Smooth_muscle_cells";"Smooth_muscle_cells:umbilical_vein"
"GSM500995";"iPS_cells";"iPS_cells:foreskin_fibrobasts"
"GSM500996";"iPS_cells";"iPS_cells:iPS:minicircle-derived"
"GSM500997";"iPS_cells";"iPS_cells:iPS:minicircle-derived"
"GSM500998";"iPS_cells";"iPS_cells:iPS:minicircle-derived"
"GSM500999";"iPS_cells";"iPS_cells:iPS:minicircle-derived"
"GSM501000";"iPS_cells";"iPS_cells:iPS:minicircle-derived"
"GSM501001";"iPS_cells";"iPS_cells:adipose_stem_cells"
"GSM501002";"iPS_cells";"iPS_cells:adipose_stem_cells"
"GSM501003";"iPS_cells";"iPS_cells:adipose_stem_cells"
"GSM501004";"iPS_cells";"iPS_cells:adipose_stem_cell-derived:lentiviral"
"GSM501005";"iPS_cells";"iPS_cells:adipose_stem_cell-derived:lentiviral"
"GSM501006";"iPS_cells";"iPS_cells:adipose_stem_cell-derived:lentiviral"
"GSM501007";"iPS_cells";"iPS_cells:adipose_stem_cell-derived:minicircle-derived"
"GSM501008";"iPS_cells";"iPS_cells:adipose_stem_cell-derived:minicircle-derived"
"GSM501009";"iPS_cells";"iPS_cells:adipose_stem_cell-derived:minicircle-derived"
"GSM501890";"Fibroblasts";"Fibroblasts:breast"
"GSM501891";"Fibroblasts";"Fibroblasts:breast"
"GSM501892";"Fibroblasts";"Fibroblasts:breast"
"GSM501893";"Fibroblasts";"Fibroblasts:breast"
"GSM501894";"Fibroblasts";"Fibroblasts:breast"
"GSM501895";"Fibroblasts";"Fibroblasts:breast"
"GSM514669";"Monocyte";"Monocyte:MCSF"
"GSM514670";"Monocyte";"Monocyte:MCSF"
"GSM514671";"Monocyte";"Monocyte:CXCL4"
"GSM514672";"Monocyte";"Monocyte:CXCL4"
"GSM530601";"Embryonic_stem_cells";"Embryonic_stem_cells"
"GSM530602";"Embryonic_stem_cells";"Embryonic_stem_cells"
"GSM530603";"Embryonic_stem_cells";"Embryonic_stem_cells"
"GSM530604";"Embryonic_stem_cells";"Embryonic_stem_cells"
"GSM530605";"Embryonic_stem_cells";"Embryonic_stem_cells"
"GSM530606";"Embryonic_stem_cells";"Embryonic_stem_cells"
"GSM530607";"Embryonic_stem_cells";"Embryonic_stem_cells"
"GSM530611";"Embryonic_stem_cells";"Embryonic_stem_cells"
"GSM53382";"Neurons";"Neurons:adrenal_medulla_cell_line"
"GSM53383";"Neurons";"Neurons:adrenal_medulla_cell_line"
"GSM53384";"Neurons";"Neurons:adrenal_medulla_cell_line"
"GSM53385";"Neurons";"Neurons:adrenal_medulla_cell_line"
"GSM53386";"Neurons";"Neurons:adrenal_medulla_cell_line"
"GSM53387";"Neurons";"Neurons:adrenal_medulla_cell_line"
"GSM540714";"Tissue_stem_cells";"Tissue_stem_cells:CD326-CD56+"
"GSM540715";"Tissue_stem_cells";"Tissue_stem_cells:CD326-CD56+"
"GSM540716";"Tissue_stem_cells";"Tissue_stem_cells:CD326-CD56+"
"GSM542578";"NK_cell";"NK_cell:CD56hiCD62L+"
"GSM547998";"T_cells";"T_cell:Treg:Naive"
"GSM547999";"T_cells";"T_cell:Treg:Naive"
"GSM548000";"T_cells";"T_cell:CD4+_Naive"
"GSM548001";"T_cells";"T_cell:CD4+_Naive"
"GSM549577";"Neutrophils";"Neutrophil:LPS"
"GSM549578";"Neutrophils";"Neutrophil:LPS"
"GSM549579";"Neutrophils";"Neutrophil:LPS"
"GSM549580";"Neutrophils";"Neutrophil:LPS"
"GSM549581";"Neutrophils";"Neutrophil:GM-CSF_IFNg"
"GSM549582";"Neutrophils";"Neutrophil:GM-CSF_IFNg"
"GSM549583";"Neutrophils";"Neutrophil:GM-CSF_IFNg"
"GSM549584";"Neutrophils";"Neutrophil:GM-CSF_IFNg"
"GSM551183";"Endothelial_cells";"Endothelial_cells:HUVEC"
"GSM556647";"Monocyte";"Monocyte"
"GSM556663";"Monocyte";"Monocyte"
"GSM556665";"Monocyte";"Monocyte:S._typhimurium_flagellin"
"GSM92231";"Neurons";"Neurons:Schwann_cell"
"GSM92232";"Neurons";"Neurons:Schwann_cell"
"GSM92233";"Neurons";"Neurons:Schwann_cell"
"GSM92234";"Neurons";"Neurons:Schwann_cell"
